378466	POLITICIAN
623633	ECONOMIST
296234	POLITICIAN
304546	RELIGIOUS FIGURE
498608	CHEMIST
410344	POLITICIAN
410349	POLITICIAN
19373302	ACTOR
21816397	DIPLOMAT
1073114	CHEMIST
19975	PHILOSOPHER
16707	SINGER
375769	POLITICIAN
64675	SWIMMER
64676	POLITICIAN
64677	WRITER
10486321	WRITER
64673	ACTOR
7332549	FENCER
18842256	FENCER
7315961	FENCER
31447162	FENCER
13652726	FENCER
1149934	FENCER
7297706	FENCER
5139751	FENCER
1038991	FENCER
18183389	FENCER
18799882	FENCER
2240321	FENCER
3021224	FENCER
7297944	FENCER
36577375	FENCER
1969649	FENCER
36598508	FENCER
17257	WRITER
63026	RELIGIOUS FIGURE
63021	RELIGIOUS FIGURE
63022	RELIGIOUS FIGURE
235965	WRITER
63028	RELIGIOUS FIGURE
53736	ACTOR
247468	WRESTLER
21615	OCCULTIST
247463	ACTOR
49562	POLITICIAN
491723	PHYSICIST
44796	JUDGE
46861	NOBLEMAN
640414	NOBLEMAN
163504	ENGINEER
19965375	WRITER
237521	POLITICIAN
237523	DIPLOMAT
1234143	POLITICIAN
543474	MILITARY PERSONNEL
54174	ACTOR
39010744	POLITICIAN
258947	SOCCER PLAYER
256125	WRITER
252633	MUSICIAN
1177	RELIGIOUS FIGURE
242149	MUSICIAN
392727	CHEMIST
27611	ACTOR
169025	CHEMIST
129237	ACTOR
2197482	POLITICIAN
174686	CHEMIST
930301	POLITICIAN
12835	POLITICIAN
1469739	SOCCER PLAYER
151381	ACTOR
145432	POLITICIAN
399009	ACTOR
18319111	ACTOR
60903	COMPUTER SCIENTIST
60904	COMPUTER SCIENTIST
26560	POLITICIAN
609983	MILITARY PERSONNEL
92886	PHYSICIAN
3162905	POLITICIAN
1038970	MODEL
33817491	RELIGIOUS FIGURE
733314	SOCCER PLAYER
3747	BUSINESSPERSON
3740	MUSICIAN
3741	MUSICIAN
167617	WRITER
670394	TENNIS PLAYER
13144236	SOCCER PLAYER
141849	COMPOSER
5649512	SOCCER PLAYER
141840	POLITICIAN
141841	COMPOSER
251388	CONDUCTOR
1013062	COACH
13383154	SOCCER PLAYER
402593	POLITICIAN
1196068	SINGER
24146	RELIGIOUS FIGURE
24140	RELIGIOUS FIGURE
24148	RELIGIOUS FIGURE
24149	RELIGIOUS FIGURE
338821	PAINTER
9955340	SOCCER PLAYER
197666	SOCIAL ACTIVIST
157241	CHEMIST
67379	MUSICIAN
273815	POLITICIAN
67375	ACTOR
67376	NOBLEMAN
67377	POLITICIAN
67370	PRODUCER
1550296	COMPOSER
1418680	SOCCER PLAYER
52469	COMPUTER SCIENTIST
82384	WRITER
2026115	ACTOR
403073	POLITICIAN
1251136	PHOTOGRAPHER
6672837	WRESTLER
183417	MUSICIAN
144424	POLITICIAN
3370177	SOCCER PLAYER
750618	POLITICIAN
53739	POLITICIAN
230711	PHYSICIST
359343	ECONOMIST
109275	SOCIOLOGIST
932030	SOCCER PLAYER
1576167	NOBLEMAN
448832	ACTOR
794885	SOCCER PLAYER
31265743	SINGER
1677	POLITICIAN
1543567	SOCCER PLAYER
488544	SKIER
4192757	JOURNALIST
391110	PHYSICIST
5050	WRITER
26576875	ARCHITECT
7445618	SOCCER PLAYER
203499	PSYCHOLOGIST
38567	NOBLEMAN
442964	ACTOR
236906	PAINTER
18894	COMIC ARTIST
411085	ACTOR
16061	ASTRONOMER
33521	POLITICIAN
33522	POLITICIAN
33523	POLITICIAN
743006	WRESTLER
2917410	POLITICIAN
71777	PHYSICIST
336052	PHYSICIST
174110	POLITICIAN
12583	SOCCER PLAYER
898814	PHYSICIAN
86655	ENGINEER
393740	POLITICIAN
164045	PSYCHOLOGIST
1728975	POLITICIAN
65064	POLITICIAN
492488	ATHLETE
33175	WRITER
158177	POLITICIAN
13988	PHILOSOPHER
842854	RELIGIOUS FIGURE
356938	COMPOSER
261047	POLITICIAN
213237	ACTOR
155463	MUSICIAN
69695	POLITICIAN
43337	ACTOR
43331	ACTOR
16005	RELIGIOUS FIGURE
449823	COMPANION
17355	POLITICIAN
52346	POLITICIAN
660855	SOCCER PLAYER
60256	WRITER
894013	MUSICIAN
20864	WRITER
250811	POLITICIAN
161803	PAINTER
494770	SINGER
45639	SOCIAL ACTIVIST
357325	POLITICIAN
11612549	SOCCER PLAYER
16919	SOCCER PLAYER
16912	INVENTOR
42178	POLITICIAN
12209	ACTOR
236590	WRITER
10518	WRITER
53569	ACTOR
95184	PHILOSOPHER
95185	WRITER
291984	SINGER
5915533	SOCCER PLAYER
98568	RELIGIOUS FIGURE
67575	PAINTER
466275	MUSICIAN
260856	POLITICIAN
168540	SINGER
168544	ACTOR
91452	PSYCHOLOGIST
443561	MILITARY PERSONNEL
28407	POLITICIAN
4643464	BASKETBALL PLAYER
4482809	ENGINEER
294851	FILM DIRECTOR
594730	CHEMIST
1094987	SOCCER PLAYER
3196992	SOCCER PLAYER
93585	WRITER
59205	RELIGIOUS FIGURE
59204	RELIGIOUS FIGURE
59207	RELIGIOUS FIGURE
27007	INVENTOR
59209	WRITER
2305246	COACH
335819	COACH
98607	ACTOR
6947925	POLITICIAN
196124	COMIC ARTIST
9942	PHYSICIST
924662	POLITICIAN
56472	POLITICIAN
9948	PAINTER
56470	POLITICIAN
21873	ACTOR
1217146	FILM DIRECTOR
99959	PRESENTER
167790	ACTOR
75097	POLITICIAN
75094	BIOLOGIST
36778	RELIGIOUS FIGURE
386491	ACTOR
105407	SINGER
33726	WRITER
563975	POLITICIAN
232595	POLITICIAN
432249	FILM DIRECTOR
5745279	SOCCER PLAYER
424417	RACING DRIVER
26586083	WRITER
80521	MUSICIAN
77934	COMPUTER SCIENTIST
77931	POLITICIAN
7819452	SOCCER PLAYER
183592	BIOLOGIST
5666114	BASKETBALL PLAYER
177854	ACTOR
24434	RELIGIOUS FIGURE
179859	POLITICIAN
206996	MODEL
43954077	POLITICIAN
7267936	PHYSICIST
24019501	ATHLETE
77062	POLITICIAN
553772	SOCCER PLAYER
1690486	ACTOR
103939	PAINTER
19747	MILITARY PERSONNEL
1285790	SOCCER PLAYER
3418303	POLITICIAN
308559	WRITER
3398250	SOCCER PLAYER
3793726	ACTOR
439501	NOBLEMAN
439508	NOBLEMAN
12317	PAINTER
80140	MILITARY PERSONNEL
10919134	SOCCER PLAYER
485323	GEOGRAPHER
10354	POLITICIAN
454123	SOCCER PLAYER
320157	TENNIS PLAYER
10358	RELIGIOUS FIGURE
1057476	ECONOMIST
396315	POLITICIAN
328700	ACTOR
139098	ACTOR
26531073	SINGER
182789	POLITICIAN
708064	PHYSICIAN
6255	ECONOMIST
45340	RELIGIOUS FIGURE
45343	PSYCHOLOGIST
45342	COMPOSER
45345	RELIGIOUS FIGURE
23243880	CYCLIST
21222213	WRITER
653305	POLITICIAN
728231	CHEMIST
790044	WRITER
1526841	POLITICIAN
391323	ACTOR
164228	ACTOR
2162222	WRESTLER
385658	POLITICIAN
40261	NOBLEMAN
385653	POLITICIAN
280738	FILM DIRECTOR
353480	MILITARY PERSONNEL
394312	POLITICIAN
45964	MUSICIAN
45967	ACTOR
17965	ARCHAEOLOGIST
45969	ACTOR
45968	SINGER
411292	ACTOR
6967012	ACTOR
469030	MUSICIAN
118697	EXTREMIST
319799	EXTREMIST
48874	POLITICIAN
245597	CHESS PLAYER
16455	WRITER
23278520	POLITICIAN
193428	ASTRONAUT
4242454	POLITICIAN
310301	ACTOR
1218389	RACING DRIVER
649861	MATHEMATICIAN
215814	POLITICIAN
81480	POLITICIAN
